# fs_hz,100.0
# duration_s,4500
# gyro_offset_counts_x,1093
# gyro_offset_counts_y,-320
# gyro_offset_counts_z,-19

t_s,accel_x,accel_y,accel_z,gyro_x_raw,gyro_y_raw,gyro_z_raw,gyro_x_corr,gyro_y_corr,gyro_z_corr
3.210062,2995,12808,9874,58,-2,-16,-1035,318,3
3.220064,3000,12813,9906,26,25,-9,-1067,345,10
3.230086,2999,12812,9917,10,31,-5,-1083,351,14
3.240084,3030,12816,9918,-24,32,5,-1117,352,24
3.250062,3045,12801,9924,-40,31,12,-1133,351,31
3.260062,3038,12772,9939,-70,26,28,-1163,346,47
3.270061,3030,12697,10007,-83,23,34,-1176,343,53
3.280062,3022,12669,10036,-92,22,32,-1185,342,51
3.290062,2992,12648,10047,-109,29,18,-1202,349,37
3.300062,2973,12638,10071,-116,34,10,-1209,354,29
3.310061,2950,12614,10101,-126,42,-2,-1219,362,17
3.320061,2898,12590,10168,-129,39,-6,-1222,359,13
3.330061,2877,12575,10215,-131,30,-7,-1224,350,12
3.340061,2823,12536,10284,-130,9,-3,-1223,329,16
3.350062,2785,12522,10289,-127,-1,0,-1220,319,19
3.360061,2743,12501,10299,-119,-21,0,-1212,299,19
3.370062,2741,12487,10304,-115,-28,-1,-1208,292,18
3.380061,2735,12482,10318,-106,-35,-8,-1199,285,11
3.390061,2714,12482,10325,-101,-36,-11,-1194,284,8
3.400061,2708,12477,10343,-94,-36,-13,-1187,284,6
3.410061,2661,12503,10338,-83,-44,-11,-1176,276,8
3.420064,2671,12490,10341,-77,-50,-8,-1170,270,11
3.430060,2686,12470,10359,-64,-55,-5,-1157,265,14
3.440061,2683,12472,10361,-60,-56,-3,-1153,264,16
3.450061,2703,12476,10334,-46,-50,-2,-1139,270,17
3.460061,2769,12469,10312,-40,-44,-4,-1133,276,15
3.470061,2796,12473,10315,-35,-36,-8,-1128,284,11
3.480061,2828,12486,10323,-26,-26,-7,-1119,294,12
3.490062,2824,12494,10307,-23,-23,-4,-1116,297,15
3.500061,2859,12481,10296,-20,-17,-3,-1113,303,16
3.510140,2873,12453,10315,-15,-12,-4,-1108,308,15
3.520062,2879,12432,10361,-12,-11,-5,-1105,309,14
3.530061,2911,12440,10398,-1,-30,-6,-1094,290,13
3.540061,2938,12447,10383,3,-42,-2,-1090,278,17
3.550062,2942,12474,10330,14,-57,8,-1079,263,27
3.560061,2951,12482,10279,17,-58,9,-1076,262,28
3.570061,2957,12475,10270,23,-45,4,-1070,275,23
3.580061,2900,12394,10378,30,-38,0,-1063,282,19
3.590061,2870,12357,10445,40,-39,-4,-1053,281,15
3.600061,2791,12340,10484,69,-66,-10,-1024,254,9
3.610061,2792,12355,10444,84,-78,-12,-1009,242,7
3.620063,2774,12430,10374,107,-83,-20,-986,237,-1
3.630061,2767,12461,10353,116,-84,-22,-977,236,-3
3.640061,2764,12475,10356,129,-100,-18,-964,220,1
3.650061,2792,12451,10371,137,-112,-15,-956,208,4
3.660061,2810,12440,10372,145,-123,-13,-948,197,6
3.670062,2822,12432,10366,166,-144,-11,-927,176,8
3.680061,2796,12454,10346,177,-153,-12,-916,167,7
3.690063,2755,12522,10267,193,-164,-19,-900,156,0
3.700061,2766,12566,10209,198,-166,-23,-895,154,-4
3.710061,2776,12606,10164,202,-159,-28,-891,161,-9
3.720061,2777,12671,10105,201,-154,-27,-892,166,-8
3.730061,2763,12714,10068,198,-151,-22,-895,169,-3
3.740073,2755,12792,9972,185,-149,-10,-908,171,9
3.750062,2780,12820,9914,172,-147,-8,-921,173,11
3.760064,2824,12833,9869,146,-118,-13,-947,202,6
3.770064,2886,12832,9871,132,-100,-17,-961,220,2
3.780061,2909,12823,9887,120,-88,-20,-973,232,-1
3.790061,2959,12808,9893,97,-78,-20,-996,242,-1
3.800061,2966,12818,9879,85,-75,-18,-1008,245,1
3.810062,2979,12815,9866,63,-61,-7,-1030,259,12
3.820063,2990,12799,9896,53,-50,-1,-1040,270,18
3.830061,3000,12790,9921,36,-34,7,-1057,286,26
3.840061,3034,12786,9929,30,-29,13,-1063,291,32
3.850061,3056,12783,9928,23,-21,20,-1070,299,39
3.860061,3068,12798,9926,10,-7,33,-1083,313,52
3.870060,3050,12795,9929,3,-2,38,-1090,318,57
3.880061,3024,12772,9950,-14,0,43,-1107,320,62
3.890061,3028,12751,9950,-22,0,43,-1115,320,62
3.900061,3013,12738,9955,-35,-6,38,-1128,314,57
3.910061,2995,12726,9974,-43,-8,33,-1136,312,52
3.920061,2976,12719,9990,-49,-11,26,-1142,309,45
3.930061,2925,12679,10044,-57,-12,13,-1150,308,32
3.940061,2919,12678,10054,-57,-14,7,-1150,306,26
3.950062,2906,12671,10060,-58,-17,1,-1151,303,20
3.960065,2892,12667,10071,-57,-17,3,-1150,303,22
3.970062,2875,12664,10093,-54,-24,11,-1147,296,30
3.980061,2839,12653,10156,-50,-31,14,-1143,289,33
3.990061,2839,12641,10149,-46,-39,16,-1139,281,35
4.000061,2875,12636,10124,-39,-42,16,-1132,278,35
4.010077,2886,12625,10129,-36,-39,11,-1129,281,30
4.020063,2872,12598,10135,-25,-32,0,-1118,288,19
4.030071,2861,12555,10184,-17,-32,-5,-1110,288,14
4.040074,2853,12546,10192,-8,-32,-11,-1101,288,8
4.050060,2859,12563,10166,8,-33,-22,-1085,287,-3
4.060061,2870,12563,10167,17,-29,-25,-1076,291,-6
4.070061,2888,12583,10191,35,-31,-25,-1058,289,-6
4.080060,2900,12602,10176,41,-41,-23,-1052,279,-4
4.090061,2938,12603,10148,51,-65,-15,-1042,255,4
4.100060,2990,12606,10155,57,-76,-11,-1036,244,8
4.110061,2994,12603,10163,63,-85,-8,-1030,235,11
4.120061,2965,12625,10133,74,-107,-5,-1019,213,14
4.130061,2957,12643,10110,79,-114,-7,-1014,206,12
4.140061,2935,12665,10055,87,-117,-13,-1006,203,6
4.150060,2912,12700,10041,88,-120,-13,-1005,200,6
4.160062,2924,12734,10030,85,-140,-6,-1008,180,13
4.170061,2960,12784,9952,81,-148,-4,-1012,172,15
4.180060,2979,12800,9899,75,-148,-5,-1018,172,14
4.190061,3018,12822,9830,58,-125,-16,-1035,195,3
4.200060,3028,12828,9829,49,-108,-23,-1044,212,-4
4.210060,3030,12824,9849,30,-78,-30,-1063,242,-11
4.220063,3022,12820,9850,21,-69,-29,-1072,251,-10
4.230060,3035,12840,9841,3,-53,-26,-1090,267,-7
4.240061,3034,12835,9850,-5,-43,-25,-1098,277,-6
4.250059,3023,12812,9865,-14,-35,-24,-1107,285,-5
4.260060,3022,12776,9928,-28,-26,-21,-1121,294,-2
4.270060,3019,12760,9974,-31,-23,-19,-1124,297,0
4.280060,3005,12740,9980,-34,-10,-19,-1127,310,0
4.290061,2954,12712,10001,-33,0,-19,-1126,320,0
4.300107,2941,12696,10031,-29,12,-19,-1122,332,0
4.310080,2914,12656,10116,-20,14,-13,-1113,334,6
4.320087,2919,12647,10119,-13,3,-5,-1106,323,14
4.330129,2943,12648,10099,0,-20,7,-1093,300,26
4.340106,2953,12658,10085,7,-30,10,-1086,290,29
4.350060,2944,12654,10085,20,-49,11,-1073,271,30
4.360059,2905,12630,10097,29,-55,9,-1064,265,28
4.370058,2870,12633,10105,38,-57,6,-1055,263,25
4.380073,2826,12630,10106,57,-56,-3,-1036,264,16
4.390061,2809,12652,10094,67,-56,-8,-1026,264,11
4.400061,2806,12679,10056,80,-55,-13,-1013,265,6
4.410060,2793,12701,10040,86,-58,-12,-1007,262,7
